,flight_id,flight_number,dep_airport_id,arr_airport_id,dep_time,arr_time,tail_number,emergency_id,fuel_usage,owner_id,name_owner,gender_id,est_net_worth,birthdate,model_id,airport_id_dep_airport,name_dep_airport,iata_dep_airport,lat_dep_airport,lon_dep_airport,country_id_dep_airport,airport_id_arr_airport,name,iata_arr_airport,lat_arr_airport,lon_arr_airport,country_id_arr_airport
0,275,N313AR  ,8661,8756,2023-05-22 15:22:36,2023-05-22 20:12:35,N313AR,5,2314.9005555555555,56,A-rod,5.0,350000000.0,1975-07-27,19.0,8661,Fort Lauderdale Hollywood International Airport,FLL,26.071491,-80.144905,252,8756,Long Beach /Daugherty Field/ Airport,LGB,33.818195,-118.14449,252
1,315,N313AR  ,8661,8785,2023-05-22 15:22:36,2023-05-23 23:42:35,N313AR,5,3991.400555555556,56,A-rod,5.0,350000000.0,1975-07-27,19.0,8661,Fort Lauderdale Hollywood International Airport,FLL,26.071491,-80.144905,252,8785,Miami International Airport,MIA,25.796,-80.27824,252
